feature_index,importance
194,0.0683577759162774
26,0.0681210535935223
222,0.04826828396822427
250,0.03824621071730539
417,0.02337921135554698
412,0.021820809634864623
508,0.017462604452362557
509,0.017152147879672612
445,0.016972596654377028
511,0.01666047515640191
440,0.01571709733107471
506,0.01364012541671183
636,0.013354231464314512
83,0.01278685729089491
334,0.012695031158573667
306,0.012417675401494526
641,0.011719633202579216
513,0.010287877428100107
507,0.009820398394824549
640,0.009674389489936257
166,0.009090986460093037
639,0.008763945091765262
443,0.00816050488287808
55,0.008059818826905912
280,0.007431455134716936
415,0.0071033399841183955
28,0.007042723757540839
167,0.006678213866805989
139,0.006595586234592904
551,0.006466219525567438
510,0.0064485244375662555
401,0.0059306452617898285
416,0.005926703037071311
140,0.00587305461593537
399,0.005861946640447227
307,0.005798001320613101
444,0.005540204670889053
397,0.0055378508624706994
49,0.005429052876140821
330,0.00521512594694083
505,0.004951571745420072
34,0.004868867658080953
643,0.004857426801815435
252,0.004842969956502174
146,0.00473838076629335
504,0.004613115474446615
394,0.004353797535293813
274,0.00427409887304123
134,0.0035900097738767807
637,0.0033498477371748784
38,0.0033494681244463035
550,0.003326594305201096
455,0.0032927875884751195
396,0.003212256906636384
393,0.003149749527024901
118,0.0031495551991057203
157,0.003088608080581318
150,0.0030061648970304694
735,0.002955068431156578
386,0.0029199021468179803
660,0.002907386787100762
145,0.002714584435243327
62,0.002687260341497613
45,0.00262538459753764
279,0.0025924431290521555
82,0.0025226031363567297
544,0.0024774180322754678
52,0.002449225841623229
204,0.0024412114904306054
425,0.0023725108876178715
112,0.0023578253829118273
441,0.0023167882770004384
78,0.0022633400052810703
286,0.0022141855169543253
229,0.0022018521289760857
302,0.0021968601127731534
407,0.0021946279765578673
129,0.002152634421304449
617,0.0021434591197848603
37,0.00211821419263799
110,0.0021152773992697514
141,0.0021052266975605765
448,0.0020785296813391795
654,0.002060705765771006
66,0.00205516121009122
288,0.0020037817784506746
661,0.0020017250235979628
36,0.001978563380862369
285,0.0019673375050965522
29,0.0019430861700770975
119,0.0019384412169124008
377,0.0019110766578354635
644,0.0019092823443606969
273,0.0018937128649492054
774,0.001891826878558394
148,0.0018913123013899109
650,0.0018394042236959918
294,0.0018335958971243725
392,0.0017928780181575255
461,0.0017777921861205227
32,0.0017534192520354316
289,0.0017500331994268587
657,0.0017335543400974567
663,0.0017245224166649495
451,0.0017017328554322871
413,0.0016766916725719106
616,0.0016386426975158622
474,0.001623563870769438
30,0.0016187564046939954
427,0.001613881324811101
73,0.0015963979125367023
291,0.0015958807486968973
94,0.0015830281195860067
469,0.0015747741246107507
33,0.001562407459137905
97,0.0015523513400648864
115,0.0015361277133981385
122,0.001490271790635113
465,0.0014782814697727712
142,0.001451114124487191
125,0.0014460217696023762
149,0.001432353537668667
435,0.0014245855463979004
143,0.001420585655872557
31,0.0013902269882183774
398,0.0013745288100965305
646,0.0013639067832530848
93,0.0013598290569390512
329,0.0013485607242364169
292,0.0013091420994994568
355,0.0013063110471899383
281,0.0012918959291394363
105,0.0012768917618329984
304,0.0012690716413171382
164,0.0012608816634005007
447,0.0012411639333129504
258,0.001216444479070483
656,0.0012030076588932905
418,0.0012004126847173025
284,0.0011967320038360721
406,0.0011957650434594352
290,0.0011862403646886032
205,0.0011568320255103694
820,0.0011266726373318375
282,0.001123444509569646
297,0.0011210132471346206
271,0.0011130051732249576
775,0.0011077844626621526
817,0.0010965437238915005
518,0.0010936575488715054
648,0.0010891025009240774
708,0.0010785732295513746
411,0.0010690270943743416
315,0.0010525434775669005
651,0.0010476153097924504
295,0.0010400510586476273
458,0.0010276175001381316
144,0.0010151170078565458
261,0.0010140763912079547
579,0.0010038132451353093
658,0.0009955854685351358
257,0.0009930633454828851
101,0.0009917453865002596
54,0.000973381274252135
653,0.0009720018661724855
338,0.0009661017830488078
374,0.0009634574224697432
402,0.0009594580164727683
718,0.0009593852189789089
263,0.0009581809110007288
827,0.0009554358784420855
446,0.0009553153680375438
572,0.0009472774425192845
470,0.000929968518474798
40,0.0009142817995075671
65,0.0008960654195789167
202,0.0008942522179199372
652,0.0008743254852369999
747,0.0008731496766293402
659,0.0008541792752381641
100,0.0008525650367829637
278,0.0008443804528011627
655,0.0008397636990952719
265,0.0008363406574514898
420,0.0008298619908214945
200,0.000810299472265093
419,0.0008036395313729984
645,0.000800042147828981
121,0.0007947905431343715
245,0.0007917097828447773
43,0.0007891593870965538
381,0.0007885002868484477
91,0.0007780208886702528
414,0.0007721084055596376
253,0.0007720019816062389
196,0.0007633820106938917
63,0.0007589904848371582
647,0.000753382340278315
423,0.0007518549807556077
715,0.0007445163782994934
41,0.0007433453713571375
713,0.0007383770141063014
705,0.0007162328945310917
422,0.0007126652498967861
547,0.0006975083362436499
283,0.0006972060338880924
830,0.0006947968433149015
77,0.00069476730843358
777,0.0006916112774405314
153,0.0006907710674346697
746,0.0006856676620822198
649,0.0006797511253444261
269,0.000676862509863809
324,0.0006759309954139364
218,0.0006635944217424038
404,0.0006615590464522061
549,0.0006582057815814279
825,0.0006547846301329359
256,0.0006513880124907341
408,0.0006489693479675939
224,0.0006464924421983791
740,0.0006422225045529016
626,0.0006420374395270022
227,0.0006387993505581523
86,0.0006385898722888542
152,0.0006385437994460921
58,0.0006348737482723746
59,0.0006268978826534317
771,0.0006240772596629745
300,0.0006210083093905191
147,0.0006161424765874135
35,0.0006101241892764103
266,0.000602829330300275
473,0.0006027531540651638
267,0.0006011458696977725
299,0.0005985946343947855
395,0.0005964503140281039
60,0.0005925734317812656
61,0.0005890263863384987
89,0.0005833800135314499
237,0.0005779394916832305
90,0.0005723798676141036
673,0.0005710236904619963
383,0.00057092444859323
57,0.0005661592364282935
433,0.0005554793382583804
608,0.0005477199847968982
424,0.000544654747842471
262,0.0005429844239556005
317,0.0005428658656739207
277,0.0005360915654962004
593,0.000535672572513293
642,0.0005356612541232934
84,0.000535191716064969
255,0.0005271810025046838
155,0.0005202946076935288
