feature_index,importance
194,0.0683577759162774
26,0.0681210535935223
222,0.04826828396822427
250,0.03824621071730539
417,0.02337921135554698
412,0.021820809634864623
508,0.017462604452362557
509,0.017152147879672612
445,0.016972596654377028
511,0.01666047515640191
440,0.01571709733107471
506,0.01364012541671183
636,0.013354231464314512
83,0.01278685729089491
334,0.012695031158573667
306,0.012417675401494526
641,0.011719633202579216
513,0.010287877428100107
507,0.009820398394824549
640,0.009674389489936257
166,0.009090986460093037
639,0.008763945091765262
443,0.00816050488287808
55,0.008059818826905912
280,0.007431455134716936
415,0.0071033399841183955
28,0.007042723757540839
167,0.006678213866805989
139,0.006595586234592904
551,0.006466219525567438
